Module,score,question_total,prop_0,prop_1,prop_2,prop_3
PSET 4,1.5,21.0,0.14285714285714285,0.21428571428571427,0.6428571428571429,0.0
Project 1,1.0588235294117647,18.0,0.4117647058823529,0.17647058823529413,0.35294117647058826,0.058823529411764705
PSET 7,1.4545454545454546,16.0,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.09090909090909091
PSET 5,1.75,14.0,0.25,0.25,0.0,0.5
PSET 10,1.3333333333333333,12.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0
PSET 11,0.7777777777777778,7.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0
PSET 3,1.2,6.0,0.4,0.2,0.2,0.2
PSET 17,1.0,5.0,0.2,0.6,0.2,0.0
PSET 1,1.3333333333333333,4.0,0.3333333333333333,0.0,0.6666666666666666,0.0
PSET 15,2.0,4.0,0.0,0.0,1.0,0.0
PSET 12,1.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
PSET 2,0.5,2.0,0.75,0.0,0.25,0.0
PSET 14,0.5,2.0,0.5,0.5,0.0,0.0
PSET 13,1.0,2.0,0.5,0.0,0.5,0.0
Other,2.0,2.0,0.0,0.0,1.0,0.0
PSET 8,1.0,1.0,0.0,1.0,0.0,0.0
PSET 9,0.5,1.0,0.5,0.5,0.0,0.0
PSET 6,0.5,1.0,0.5,0.5,0.0,0.0
Final,0.0,0.0,1.0,0.0,0.0,0.0
PSET 18,0.0,0.0,1.0,0.0,0.0,0.0
Final Project,0.0,0.0,1.0,0.0,0.0,0.0
Midterm,0.0,0.0,1.0,0.0,0.0,0.0
Project 2,0.0,0.0,1.0,0.0,0.0,0.0
